timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603445938,700,200,Grupo de Usuários 1-182,text,695,1,0,0,331
1686603446378,273,200,Grupo de Usuários 1-48,text,266,1,0,0,0
1686603446277,381,200,Grupo de Usuários 1-197,text,374,1,0,0,0
1686603445471,1187,200,Grupo de Usuários 1-177,text,1173,1,0,0,798
1686603446351,406,200,Grupo de Usuários 1-142,text,392,1,0,0,0
1686603446392,351,200,Grupo de Usuários 1-198,text,343,1,0,0,0
1686603446380,345,200,Grupo de Usuários 1-50,text,339,1,0,0,0
1686603446295,424,200,Grupo de Usuários 1-194,text,410,1,0,0,0
1686603446383,328,200,Grupo de Usuários 1-43,text,322,1,0,0,0
1686603446425,364,200,Grupo de Usuários 1-53,text,358,1,0,0,0
1686603446532,280,200,Grupo de Usuários 1-166,text,257,1,0,0,0
1686603446307,546,200,Grupo de Usuários 1-144,text,505,1,0,0,0
1686603446245,608,200,Grupo de Usuários 1-189,text,567,1,0,0,310
1686603446286,572,200,Grupo de Usuários 1-186,text,567,1,0,0,310
1686603446644,279,200,Grupo de Usuários 1-145,text,267,1,0,0,0
